wordpress_url;github_pages_url
https://graiphic.io/documentation/auto-adjust-contrast/;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/functions/treatment/auto-adjust-contrast/README.md
https://graiphic.io/documentation/average-add-to-graph/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/layers/average-add-to-graph/README.md
https://graiphic.io/documentation/averagepool/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/nodes/nodes/mono_input/mono_output/averagepool/README.md
https://graiphic.io/documentation/avg-pool-1d-add-to-graph/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/layers/avg-pool-1d-add-to-graph/README.md
https://graiphic.io/documentation/avg-pool-2d-add-to-graph/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/layers/avg-pool-2d-add-to-graph/README.md
https://graiphic.io/documentation/avg-pool-3d-add-to-graph/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/layers/avg-pool-3d-add-to-graph/README.md
https://graiphic.io/documentation/batch-norm-add-to-graph/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/layers/batch-norm-add-to-graph/README.md
https://graiphic.io/documentation/batchnormalization-2/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/advanced/add-weight/deep-learning-input-name/batchnormalization-2/README.md
https://graiphic.io/documentation/batchnormalization-3/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/advanced/format-weight/batchnormalization-3/README.md
https://graiphic.io/documentation/batchnormalization-4/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/nodes/nodes/multi-input-dl/multi-output/batchnormalization-4/README.md
https://graiphic.io/documentation/batchnormalization/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/advanced/add-weight/deep-learning-input-index/batchnormalization/README.md
https://graiphic.io/documentation/bcg-lookup/;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/functions/treatment/bcg-lookup/README.md
https://graiphic.io/documentation/beginners-guide/;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/general-computer-vision/beginners-guide/README.md
https://graiphic.io/documentation/bernouilli/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/nodes/nodes/mono_input/mono_output/bernouilli/README.md
https://graiphic.io/documentation/biasdropout/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/nodes/nodes/multi-input-dl/multi-output/biasdropout/README.md
https://graiphic.io/documentation/bidirectional-2/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/advanced/add-weight/deep-learning-input-name/bidirectional-2/README.md
https://graiphic.io/documentation/bidirectional-3/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/advanced/format-weight/bidirectional-3/README.md
https://graiphic.io/documentation/bidirectional-add-to-graph/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/layers/bidirectional-add-to-graph/README.md
https://graiphic.io/documentation/bidirectional/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/advanced/add-weight/deep-learning-input-index/bidirectional/README.md
https://graiphic.io/documentation/bifurcationdetector/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/nodes/nodes/multi-input-dl/multi-output/bifurcationdetector/README.md
https://graiphic.io/documentation/binaryaccuracy/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/advanced/metrics/binaryaccuracy/README.md
https://graiphic.io/documentation/binarycrossentropy-2/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/advanced/metrics/binarycrossentropy-2/README.md
https://graiphic.io/documentation/binarycrossentropy/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/define-deep-learning-architecture/losses/binarycrossentropy/README.md
https://graiphic.io/documentation/binaryiou/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/advanced/metrics/binaryiou/README.md
